LandProvince;SeaZone;x;y
hammerfest;north_cape;8828;7828;x
lebesby;north_cape;8926;7818;x
deatnu;tana_fjord;8976;7814;x
porsanger;north_cape;8864;7799;x
vardo;tana_fjord;9063;7798;x
alta;lyngen;8724;7788;x
troms;senja_island;8560;7737;x
raisa;lyngen;8651;7749;x
varanger;tana_fjord;9021;7758;x
pechenga;rybachy_peninsula;9176;7738;x
kirkenes;tana_fjord;9063;7741;x
kali;wevok_point;259;7697;x
senja;senja_island;8491;7712;x
mootka;rybachy_peninsula;9191;7711;x
bardodalen;senja_island;8507;7686;x
kiltina;rybachy_peninsula;9243;7699;x
langenes;lofoten_islands2;8379;7661;x
dalniye_zelentsy;murman_coast;9346;7681;x
kola;rybachy_peninsula;9213;7683;x
trondenes;lofoten_islands2;8444;7660;x
uivvak;wevok_point;176;7665;x
semiostrov;murman_coast;9406;7650;x
kivualinagmut;point_hope;132;7609;x
ofoti;vestfjord;8483;7627;x
lofotr;ran_fjord;8306;7597;x
hamaroy;vestfjord;8438;7610;x
svyatoy_nos;svyatoy_nos_cape;9491;7601;x
steigen;vestfjord;8399;7596;x
ponoi;orlov_cape;9566;7532;x
uataaq;krusenstern_lagoon;224;7557;x
bodo;ran_fjord;8369;7546;x
nutepylmyn;enurmino_point;16122;7510;x
gildeskal;ran_fjord;8308;7504;x
kantalahti;varzuga_estuary;9177;7520;x
raivke;varzuga_estuary;9171;7516;x
innurmin;enurmino_point;16226;7510;x
nuurvik;hotham_inlet;326;7501;x
qikiqtagruk;hotham_inlet;334;7472;x
nes;barents_sea10;9713;7485;x
pyalitsa;orlov_cape;9553;7485;x
kovda;varzuga_estuary;9198;7489;x
umba;varzuga_estuary;9224;7493;x
koyda;barents_sea10;9650;7468;x
alstahaug;ran_fjord;8279;7458;x
olenitsa;varzuga_estuary;9277;7480;x
yoniveem;enurmino_point;16146;7467;x
kongashuk;krusenstern_lagoon;192;7476;x
iglunga;cumberland_sound;4620;7459;x
torshofn;fontur_point;6979;7462;x
keret;varzuga_estuary;9230;7463;x
isafjordur;isa_fjord;6667;7440;x
kashkarantsy;varzuga_estuary;9324;7461;x
okladnikova_sloboda;barents_sea10;9697;7449;x
keniergyn;zaliv_kresta;15944;7437;x
ervykynnot;zaliv_kresta;15925;7453;x
pangnirtung;cumberland_sound;4701;7448;x
anakovik;shishmarev_inlet;91;7430;x
nuvuqaq;diomede_sea;16319;7420;x
varzuga;varzuga_estuary;9373;7454;x
akureyri;skaga_fjord;6858;7436;x
husavik;skaga_fjord;6900;7442;x
kuloy;barents_sea10;9691;7448;x
holar;skaga_fjord;6802;7432;x
tetrino;intsi_cape;9439;7438;x
verkhnyaya_zolotitsa;orlov_cape;9567;7440;x
vopnafjordur;fontur_point;7022;7424;x
valkall_an;zaliv_kresta;15898;7421;x
blonduos;isa_fjord;6765;7420;x
kuugaaluk;hotham_inlet;293;7440;x
kriitina;varzuga_estuary;9274;7409;x
birndal;bindals_fjord;8248;7398;x
kytryn;mechigmenskiy_zaliv;16252;7396;x
seydisfjordur;glettinga_point;7064;7400;x
hvamstangi;isa_fjord;6735;7396;x
nunligran;medvezh_ye_bay1;16072;7374;x
rykuul;konergino_coast1;15907;7383;x
olavsvik;arnar_fjord;6659;7363;x
kem;inner_onega_bay;9282;7351;x
yanrakynnot;mechigmenskiy_zaliv;16233;7352;x
namdal;bindals_fjord;8215;7355;x
unazigmit;konergino_coast1;15878;7356;x
kigluaik;nome_coast;135;7322;x
solovetsky;inner_onega_bay;9325;7361;x
luda;inner_onega_bay;9366;7327;x
reydarfjordur;glettinga_point;7055;7340;x
nyerpicha;reka_tumanskaya;15741;7359;x
arkhangelsk;intsi_cape;9521;7342;x
kuuyuk;norton_bay;349;7343;x
tavayveem;reka_tumanskaya;15690;7339;x
v_enyn;reka_tumanskaya;15735;7328;x
ugolnye;reka_tumanskaya;15801;7330;x
enmyl_yn;achchen_bay;16126;7339;x
anavik;nuuk_fjord;5398;7335;x
guvrel;mechigmenskiy_zaliv;16214;7329;x
malemiut;norton_bay;370;7338;x
nyonoksa;intsi_cape;9465;7337;x
sinjik;norton_bay;295;7321;x
kangeq;nuuk_fjord;5317;7311;x
kapisillit;nuuk_fjord;5399;7332;x
krasnyano;reka_tumanskaya;15666;7337;x
borgarnes;faxa_bay;6688;7319;x
pomorye;intsi_cape;9502;7327;x
nachirvik;norton_bay;243;7322;x
ungaliq;norton_bay;354;7320;x
orland;trondheim_fjord;8169;7249;x
saarijoki;inner_onega_bay;9286;7320;x
sigheneg;achchen_bay;16165;7311;x
kinngait;aquiatulavik_bay;4210;7301;x
godthab;nuuk_fjord;5359;7304;x
sandnes;nuuk_fjord;5400;7311;x
tumanskaya;reka_tumanskaya;15814;7281;x
holmur;stokks_point;6968;7291;x
steinkjer;bindals_fjord;8208;7313;x
bygdea;kvarken;8649;7293;x
sumsky_posad;inner_onega_bay;9320;7307;x
reikjavik;faxa_bay;6695;7301;x
unezhma;inner_onega_bay;9362;7286;x
village_onega;inner_onega_bay;9420;7289;x
amadjuak;jubilee_island;4386;7270;x
lysufjord;nuuk_fjord;5350;7277;x
keflavik;faxa_bay;6668;7280;x
levanger;trondheim_fjord;8197;7260;x
unalakleet;pastol_bay;363;7253;x
selfoss;faxa_bay;6718;7267;x
maloshuyka;inner_onega_bay;9403;7270;x
pedersore;kvarken;8731;7264;x
orkdal;tingvoll_fjord;8080;7249;x
umea;kvarken;8623;7260;x
sivuqaq;kongkok_bay;16282;7233;x
kirkjubaejar;vestmanna_islands;6847;7235;x
iqaluit;frobisher_bay;4582;7251;x
hvolsvollur;vestmanna_islands;6773;7244;x
savoonga;sevuokuk_point;16331;7253;x
grundsunda;kvarken;8581;7239;x
tapqaq;pastol_bay;304;7242;x
y_lkytveem;reka_tumanskaya;15819;7249;x
stjordal;trondheim_fjord;8181;7245;x
vora;kvarken;8704;7242;x
fosna;tingvoll_fjord;8063;7219;x
nidaros;trondheim_fjord;8165;7239;x
korsholm;kvarken;8670;7216;x
